gml_id,ust_katego,alt_katego,ad,geojson
bursa_sanayinoktalari.43,SANAYİ,FABRİKALAR,BPO B-PLAS,"{""type"":""Point"",""coordinates"":[28.955146869,40.245146346]}"
bursa_sanayinoktalari.44,SANAYİ,FABRİKALAR,EKS,"{""type"":""Point"",""coordinates"":[28.946547347,40.241437612]}"
bursa_sanayinoktalari.45,SANAYİ,FABRİKALAR,BAYKAL,"{""type"":""Point"",""coordinates"":[28.947442816,40.241774792]}"
bursa_sanayinoktalari.46,SANAYİ,FABRİKALAR,BOYTEKS,"{""type"":""Point"",""coordinates"":[28.947281385,40.240584916]}"
bursa_sanayinoktalari.47,SANAYİ,FABRİKALAR,NERGİS HOLDİNG,"{""type"":""Point"",""coordinates"":[28.951152947,40.244560878]}"
bursa_sanayinoktalari.48,SANAYİ,FABRİKALAR,CEMRE,"{""type"":""Point"",""coordinates"":[28.946211436,40.242022611]}"
bursa_sanayinoktalari.49,SANAYİ,FABRİKALAR,ZORLUTEKS,"{""type"":""Point"",""coordinates"":[28.947810671,40.244019057]}"
bursa_sanayinoktalari.50,SANAYİ,FABRİKALAR,İR-DE BOYA,"{""type"":""Point"",""coordinates"":[28.949533729,40.242606195]}"
bursa_sanayinoktalari.51,SANAYİ,FABRİKALAR,PAKİPEK,"{""type"":""Point"",""coordinates"":[28.947279799,40.246269072]}"
bursa_sanayinoktalari.52,SANAYİ,FABRİKALAR,HARPUT,"{""type"":""Point"",""coordinates"":[28.947577026,40.24557827]}"
bursa_sanayinoktalari.53,SANAYİ,FABRİKALAR,CAS ANTREPO,"{""type"":""Point"",""coordinates"":[28.947040431,40.244482189]}"
bursa_sanayinoktalari.54,SANAYİ,FABRİKALAR,PAKKENS,"{""type"":""Point"",""coordinates"":[28.945514655,40.244152817]}"
bursa_sanayinoktalari.55,SANAYİ,FABRİKALAR,MAYDA,"{""type"":""Point"",""coordinates"":[28.946414622,40.246901677]}"
bursa_sanayinoktalari.56,SANAYİ,FABRİKALAR,UYBOSAN,"{""type"":""Point"",""coordinates"":[28.944782309,40.246668095]}"
bursa_sanayinoktalari.57,SANAYİ,FABRİKALAR,NUSRET KLİMA,"{""type"":""Point"",""coordinates"":[28.944644237,40.247000093]}"
bursa_sanayinoktalari.58,SANAYİ,FABRİKALAR,MAGNETİ MARELLİ MAKO,"{""type"":""Point"",""coordinates"":[28.951218428,40.247737005]}"
bursa_sanayinoktalari.59,SANAYİ,FABRİKALAR,KOZA TEKSTİL,"{""type"":""Point"",""coordinates"":[28.952504857,40.245418623]}"
